country,happiness_score,gdp_per_capita,dystopia,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
"Bolivia, Plurinational State of",5.6,1.256,2.107,0.88,0.555,0.627,0.112,0.064
China,5.585,1.508,1.516,0.958,0.705,0.656,0.099,0.142
Paraguay,5.578,1.409,1.555,1.13,0.624,0.629,0.171,0.059
Peru,5.559,1.397,1.89,0.865,0.735,0.545,0.09,0.037
Montenegro,5.547,1.573,1.619,1.023,0.659,0.46,0.135,0.077
Ecuador,5.533,1.352,1.866,0.879,0.708,0.565,0.08,0.083
"Viet Nam",5.485,1.252,1.735,0.932,0.611,0.707,0.143,0.105
"Russian Federation",5.459,1.685,1.494,1.095,0.586,0.401,0.117,0.08
Armenia,5.399,1.434,1.654,0.82,0.668,0.558,0.054,0.21
Bulgaria,5.371,1.625,1.235,1.163,0.64,0.563,0.123,0.021
Indonesia,5.24,1.382,1.3,0.883,0.539,0.62,0.468,0.047
"CÃ´te d'Ivoire",5.235,1.094,2.652,0.442,0.322,0.451,0.149,0.124
"North Macedonia",5.199,1.505,1.461,0.863,0.637,0.488,0.215,0.031
Albania,5.199,1.439,1.718,0.646,0.719,0.511,0.138,0.028
"South Africa",5.194,1.425,1.742,1.088,0.361,0.442,0.089,0.046
Bangladesh,5.155,1.06,1.967,0.614,0.581,0.622,0.125,0.187
Algeria,5.122,1.363,1.744,0.97,0.643,0.146,0.106,0.15
Ukraine,5.084,1.411,1.331,1.081,0.583,0.473,0.188,0.017
Congo,5.075,0.95,2.658,0.405,0.355,0.431,0.13,0.146
Morocco,5.06,1.208,2.405,0.268,0.565,0.492,0.02,0.102
Mozambique,5.048,0.578,2.641,0.66,0.191,0.593,0.185,0.2
Cameroon,5.048,0.968,2.469,0.672,0.317,0.397,0.152,0.074
Senegal,5.046,0.933,2.419,0.53,0.447,0.494,0.143,0.081
Georgia,4.973,1.467,1.583,0.612,0.595,0.508,0,0.208
Gabon,4.958,1.459,1.892,0.738,0.396,0.343,0.032,0.099
Iraq,4.941,1.289,1.894,0.682,0.554,0.328,0.147,0.046
"Venezuela, Bolivarian Republic of",4.925,0,2.79,0.968,0.578,0.283,0.225,0.082
Guinea,4.891,0.848,2.538,0.566,0.275,0.334,0.214,0.116
"Iran, Islamic Republic of",4.888,1.41,1.427,0.741,0.642,0.281,0.241,0.146
Ghana,4.872,1.112,1.972,0.595,0.409,0.5,0.23,0.056
TÃ¼rkiye,4.744,1.707,1.059,0.865,0.702,0.209,0.087,0.115
"Burkina Faso",4.67,0.779,2.313,0.565,0.32,0.382,0.186,0.126
Benin,4.623,0.932,2.458,0.064,0.335,0.479,0.127,0.23
Uganda,4.603,0.777,1.842,0.875,0.418,0.402,0.222,0.066
Nigeria,4.552,1.079,1.784,0.732,0.3,0.444,0.175,0.038
Kenya,4.543,1.032,1.661,0.605,0.401,0.44,0.322,0.082
Tunisia,4.516,1.35,1.54,0.596,0.656,0.316,0.029,0.029
Pakistan,4.516,1.049,1.94,0.413,0.374,0.448,0.181,0.112
Mali,4.479,0.792,2.373,0.483,0.311,0.35,0.128,0.042
Namibia,4.459,1.292,1.414,0.877,0.354,0.384,0.067,0.071
Egypt,4.288,1.388,0.856,0.732,0.548,0.469,0.041,0.254
Ethiopia,4.241,0.788,1.375,0.809,0.457,0.472,0.205,0.136
Togo,4.112,0.771,2.061,0.322,0.36,0.292,0.174,0.132
India,3.777,1.167,0.795,0.376,0.471,0.647,0.198,0.123
Zambia,3.76,0.93,1.135,0.577,0.306,0.525,0.203,0.083
Malawi,3.75,0.648,1.661,0.279,0.388,0.477,0.14,0.157
"Tanzania, United Republic of",3.702,0.848,0.735,0.597,0.425,0.578,0.248,0.27
Zimbabwe,2.995,0.947,0.548,0.69,0.27,0.329,0.106,0.105
Afghanistan,2.404,0.758,1.263,0,0.289,0,0.089,0.005
